date,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,region_East US,region_North Europe,region_Southeast Asia,region_West US,resource_type_Container,resource_type_Storage,resource_type_VM
2023-01-12,68,1581,428,100.68,0.86,0,0,1,0,0,0,1,0
2023-01-12,75,616,478,100.68,0.86,0,0,1,0,0,1,0,0
2023-01-12,58,1512,328,100.68,0.86,0,0,0,1,0,0,0,1
2023-01-12,50,1301,295,100.68,0.86,0,0,0,1,0,0,1,0
2023-01-12,97,987,436,100.68,0.86,0,0,0,1,0,1,0,0
2023-01-13,50,1795,388,94.56,1.01,0,1,0,0,0,0,0,1
2023-01-13,88,1203,268,94.56,1.01,0,1,0,0,0,0,1,0
2023-01-13,71,1360,446,94.56,1.01,0,1,0,0,0,1,0,0
2023-01-13,52,1599,353,94.56,1.01,0,0,0,0,1,0,0,1
2023-01-13,65,1958,285,94.56,1.01,0,0,0,0,1,0,1,0
2023-01-13,78,1743,268,94.56,1.01,0,0,0,0,1,1,0,0
2023-01-13,96,1508,293,94.56,1.01,0,0,1,0,0,0,0,1
2023-01-13,95,1457,403,94.56,1.01,0,0,1,0,0,0,1,0
2023-01-13,65,717,238,94.56,1.01,0,0,1,0,0,1,0,0
2023-01-13,85,1812,453,94.56,1.01,0,0,0,1,0,0,0,1
2023-01-13,79,856,222,94.56,1.01,0,0,0,1,0,0,1,0
2023-01-13,59,1623,489,94.56,1.01,0,0,0,1,0,1,0,0
2023-01-14,80,1261,346,88.49,1.04,1,1,0,0,0,0,0,1
2023-01-14,81,1268,203,88.49,1.04,1,1,0,0,0,0,1,0
2023-01-14,65,1291,446,88.49,1.04,1,1,0,0,0,1,0,0
2023-01-14,51,996,359,88.49,1.04,1,0,0,0,1,0,0,1
2023-01-14,76,1351,351,88.49,1.04,1,0,0,0,1,0,1,0
2023-01-14,61,1189,362,88.49,1.04,1,0,0,0,1,1,0,0
2023-01-14,82,1456,378,88.49,1.04,1,0,1,0,0,0,0,1
2023-01-14,92,1791,264,88.49,1.04,1,0,1,0,0,0,1,0
2023-01-14,82,1691,242,88.49,1.04,1,0,1,0,0,1,0,0
2023-01-14,93,784,211,88.49,1.04,1,0,0,1,0,0,0,1
2023-01-14,80,1825,452,88.49,1.04,1,0,0,1,0,0,1,0
2023-01-14,99,534,414,88.49,1.04,1,0,0,1,0,1,0,0
2023-01-15,66,589,463,93.99,0.97,1,1,0,0,0,0,0,1
2023-01-15,78,1469,289,93.99,0.97,1,1,0,0,0,0,1,0
2023-01-15,83,614,304,93.99,0.97,1,1,0,0,0,1,0,0
2023-01-15,56,1719,313,93.99,0.97,1,0,0,0,1,0,0,1
2023-01-15,94,1598,416,93.99,0.97,1,0,0,0,1,0,1,0
2023-01-15,70,1520,448,93.99,0.97,1,0,0,0,1,1,0,0
2023-01-15,85,1917,391,93.99,0.97,1,0,1,0,0,0,0,1
2023-01-15,84,1622,235,93.99,0.97,1,0,1,0,0,0,1,0
2023-01-15,67,1508,295,93.99,0.97,1,0,1,0,0,1,0,0
2023-01-15,73,1162,389,93.99,0.97,1,0,0,1,0,0,0,1
2023-01-15,81,536,467,93.99,0.97,1,0,0,1,0,0,1,0
2023-01-15,98,778,416,93.99,0.97,1,0,0,1,0,1,0,0
2023-01-16,84,1372,485,93.98,1.19,0,1,0,0,0,0,0,1
2023-01-16,66,561,283,93.98,1.19,0,1,0,0,0,0,1,0
2023-01-16,97,1228,386,93.98,1.19,0,1,0,0,0,1,0,0
2023-01-16,68,676,299,93.98,1.19,0,0,0,0,1,0,0,1
2023-01-16,61,944,432,93.98,1.19,0,0,0,0,1,0,1,0
2023-01-16,68,575,464,93.98,1.19,0,0,0,0,1,1,0,0
2023-01-16,56,1217,422,93.98,1.19,0,0,1,0,0,0,0,1
2023-01-16,68,1890,343,93.98,1.19,0,0,1,0,0,0,1,0
2023-01-16,54,1622,224,93.98,1.19,0,0,1,0,0,1,0,0
2023-01-16,70,1674,343,93.98,1.19,0,0,0,1,0,0,0,1
2023-01-16,88,608,380,93.98,1.19,0,0,0,1,0,0,1,0
2023-01-16,91,1709,422,93.98,1.19,0,0,0,1,0,1,0,0
2023-01-17,54,1686,414,99.87,0.89,0,1,0,0,0,0,0,1
2023-01-17,78,734,345,99.87,0.89,0,1,0,0,0,0,1,0
2023-01-17,96,1087,208,99.87,0.89,0,1,0,0,0,1,0,0
2023-01-17,59,1453,452,99.87,0.89,0,0,0,0,1,0,0,1
2023-01-17,87,1697,340,99.87,0.89,0,0,0,0,1,0,1,0
2023-01-17,89,669,482,99.87,0.89,0,0,0,0,1,1,0,0
2023-01-17,51,528,364,99.87,0.89,0,0,1,0,0,0,0,1
2023-01-17,87,838,335,99.87,0.89,0,0,1,0,0,0,1,0
2023-01-17,97,1888,344,99.87,0.89,0,0,1,0,0,1,0,0
2023-01-17,56,716,331,99.87,0.89,0,0,0,1,0,0,0,1
2023-01-17,85,1593,451,99.87,0.89,0,0,0,1,0,0,1,0
2023-01-17,80,944,381,99.87,0.89,0,0,0,1,0,1,0,0
2023-01-18,88,590,401,108.23,0.88,0,1,0,0,0,0,0,1
2023-01-18,75,538,325,108.23,0.88,0,1,0,0,0,0,1,0
2023-01-18,52,672,340,108.23,0.88,0,1,0,0,0,1,0,0
2023-01-18,99,1743,325,108.23,0.88,0,0,0,0,1,0,0,1
2023-01-18,69,975,200,108.23,0.88,0,0,0,0,1,0,1,0
2023-01-18,52,847,389,108.23,0.88,0,0,0,0,1,1,0,0
2023-01-18,98,1932,316,108.23,0.88,0,0,1,0,0,0,0,1
2023-01-18,55,557,243,108.23,0.88,0,0,1,0,0,0,1,0
2023-01-18,94,1171,372,108.23,0.88,0,0,1,0,0,1,0,0
2023-01-18,96,1672,279,108.23,0.88,0,0,0,1,0,0,0,1
2023-01-18,70,702,451,108.23,0.88,0,0,0,1,0,0,1,0
2023-01-18,86,1750,346,108.23,0.88,0,0,0,1,0,1,0,0
2023-01-19,69,1964,246,102.09,0.8,0,1,0,0,0,0,0,1
2023-01-19,90,1828,213,102.09,0.8,0,1,0,0,0,0,1,0
2023-01-19,64,1938,200,102.09,0.8,0,1,0,0,0,1,0,0
2023-01-19,52,1155,211,102.09,0.8,0,0,0,0,1,0,0,1
2023-01-19,59,1235,471,102.09,0.8,0,0,0,0,1,0,1,0
2023-01-19,57,857,355,102.09,0.8,0,0,0,0,1,1,0,0
2023-01-19,57,1645,363,102.09,0.8,0,0,1,0,0,0,0,1
2023-01-19,75,1197,377,102.09,0.8,0,0,1,0,0,0,1,0
2023-01-19,77,1231,240,102.09,0.8,0,0,1,0,0,1,0,0
2023-01-19,85,1001,344,102.09,0.8,0,0,0,1,0,0,0,1
2023-01-19,58,1428,411,102.09,0.8,0,0,0,1,0,0,1,0
2023-01-19,62,1231,439,102.09,0.8,0,0,0,1,0,1,0,0
2023-01-20,78,1408,245,86.72,1.02,0,1,0,0,0,0,0,1
2023-01-20,84,1776,281,86.72,1.02,0,1,0,0,0,0,1,0
2023-01-20,54,949,209,86.72,1.02,0,1,0,0,0,1,0,0
2023-01-20,79,1765,450,86.72,1.02,0,0,0,0,1,0,0,1
2023-01-20,94,1528,318,86.72,1.02,0,0,0,0,1,0,1,0
2023-01-20,82,873,264,86.72,1.02,0,0,0,0,1,1,0,0
2023-01-20,67,723,438,86.72,1.02,0,0,1,0,0,0,0,1
2023-01-20,98,1352,481,86.72,1.02,0,0,1,0,0,0,1,0
2023-01-20,74,1326,482,86.72,1.02,0,0,1,0,0,1,0,0
2023-01-20,98,1984,297,86.72,1.02,0,0,0,1,0,0,0,1
2023-01-20,90,1622,205,86.72,1.02,0,0,0,1,0,0,1,0
2023-01-20,77,1208,332,86.72,1.02,0,0,0,1,0,1,0,0
2023-01-21,87,1270,222,107.38,1.02,1,1,0,0,0,0,0,1
2023-01-21,86,1176,401,107.38,1.02,1,1,0,0,0,0,1,0
2023-01-21,59,582,344,107.38,1.02,1,1,0,0,0,1,0,0
2023-01-21,70,1601,200,107.38,1.02,1,0,0,0,1,0,0,1
2023-01-21,94,1216,459,107.38,1.02,1,0,0,0,1,0,1,0
2023-01-21,50,1380,487,107.38,1.02,1,0,0,0,1,1,0,0
2023-01-21,83,1871,294,107.38,1.02,1,0,1,0,0,0,0,1
2023-01-21,57,653,449,107.38,1.02,1,0,1,0,0,0,1,0
2023-01-21,83,937,317,107.38,1.02,1,0,1,0,0,1,0,0
2023-01-21,52,1829,467,107.38,1.02,1,0,0,1,0,0,0,1
2023-01-21,50,1577,435,107.38,1.02,1,0,0,1,0,0,1,0
2023-01-21,54,1489,421,107.38,1.02,1,0,0,1,0,1,0,0
2023-01-22,66,1123,454,98.84,0.97,1,1,0,0,0,0,0,1
2023-01-22,96,1418,406,98.84,0.97,1,1,0,0,0,0,1,0
2023-01-22,86,1352,265,98.84,0.97,1,1,0,0,0,1,0,0
2023-01-22,60,934,302,98.84,0.97,1,0,0,0,1,0,0,1
2023-01-22,87,1263,425,98.84,0.97,1,0,0,0,1,0,1,0
2023-01-22,87,1829,297,98.84,0.97,1,0,0,0,1,1,0,0
2023-01-22,67,1297,448,98.84,0.97,1,0,1,0,0,0,0,1
2023-01-22,87,1483,229,98.84,0.97,1,0,1,0,0,0,1,0
2023-01-22,91,580,332,98.84,0.97,1,0,1,0,0,1,0,0
2023-01-22,78,1399,337,98.84,0.97,1,0,0,1,0,0,0,1
2023-01-22,66,1853,472,98.84,0.97,1,0,0,1,0,0,1,0
2023-01-22,69,1483,268,98.84,0.97,1,0,0,1,0,1,0,0
2023-01-23,83,552,404,85.21,0.93,0,1,0,0,0,0,0,1
2023-01-23,92,542,439,85.21,0.93,0,1,0,0,0,0,1,0
2023-01-23,60,610,448,85.21,0.93,0,1,0,0,0,1,0,0
2023-01-23,72,1706,294,85.21,0.93,0,0,0,0,1,0,0,1
2023-01-23,60,1897,207,85.21,0.93,0,0,0,0,1,0,1,0
2023-01-23,53,859,383,85.21,0.93,0,0,0,0,1,1,0,0
2023-01-23,74,1718,394,85.21,0.93,0,0,1,0,0,0,0,1
2023-01-23,76,592,359,85.21,0.93,0,0,1,0,0,0,1,0
2023-01-23,99,560,321,85.21,0.93,0,0,1,0,0,1,0,0
2023-01-23,68,1528,291,85.21,0.93,0,0,0,1,0,0,0,1
2023-01-23,91,1033,200,85.21,0.93,0,0,0,1,0,0,1,0
2023-01-23,54,732,211,85.21,0.93,0,0,0,1,0,1,0,0
2023-01-24,75,1569,233,95.39,1.11,0,1,0,0,0,0,0,1
2023-01-24,98,1601,417,95.39,1.11,0,1,0,0,0,0,1,0
2023-01-24,94,1596,481,95.39,1.11,0,1,0,0,0,1,0,0
2023-01-24,96,1644,413,95.39,1.11,0,0,0,0,1,0,0,1
2023-01-24,96,1579,306,95.39,1.11,0,0,0,0,1,0,1,0
2023-01-24,97,836,225,95.39,1.11,0,0,0,0,1,1,0,0
2023-01-24,85,1780,207,95.39,1.11,0,0,1,0,0,0,0,1
2023-01-24,98,1776,379,95.39,1.11,0,0,1,0,0,0,1,0
2023-01-24,64,802,326,95.39,1.11,0,0,1,0,0,1,0,0
2023-01-24,71,1025,227,95.39,1.11,0,0,0,1,0,0,0,1
2023-01-24,72,577,415,95.39,1.11,0,0,0,1,0,0,1,0
2023-01-24,51,864,353,95.39,1.11,0,0,0,1,0,1,0,0
2023-01-25,63,1198,206,103.44,0.82,0,1,0,0,0,0,0,1
2023-01-25,52,1418,437,103.44,0.82,0,1,0,0,0,0,1,0
2023-01-25,92,1797,493,103.44,0.82,0,1,0,0,0,1,0,0
2023-01-25,84,1538,391,103.44,0.82,0,0,0,0,1,0,0,1
2023-01-25,74,984,227,103.44,0.82,0,0,0,0,1,0,1,0
2023-01-25,59,1562,472,103.44,0.82,0,0,0,0,1,1,0,0
2023-01-25,88,585,325,103.44,0.82,0,0,1,0,0,0,0,1
2023-01-25,93,1036,344,103.44,0.82,0,0,1,0,0,0,1,0
2023-01-25,62,1735,224,103.44,0.82,0,0,1,0,0,1,0,0
2023-01-25,53,1917,266,103.44,0.82,0,0,0,1,0,0,0,1
2023-01-25,90,608,345,103.44,0.82,0,0,0,1,0,0,1,0
2023-01-25,96,727,310,103.44,0.82,0,0,0,1,0,1,0,0
2023-01-26,71,533,310,103.24,0.96,0,1,0,0,0,0,0,1
2023-01-26,57,1892,435,103.24,0.96,0,1,0,0,0,0,1,0
2023-01-26,68,924,300,103.24,0.96,0,1,0,0,0,1,0,0
2023-01-26,55,1191,481,103.24,0.96,0,0,0,0,1,0,0,1
2023-01-26,83,1966,428,103.24,0.96,0,0,0,0,1,0,1,0
2023-01-26,82,1960,349,103.24,0.96,0,0,0,0,1,1,0,0
2023-01-26,70,1123,203,103.24,0.96,0,0,1,0,0,0,0,1
2023-01-26,79,1342,294,103.24,0.96,0,0,1,0,0,0,1,0
2023-01-26,73,1322,336,103.24,0.96,0,0,1,0,0,1,0,0
2023-01-26,52,742,230,103.24,0.96,0,0,0,1,0,0,0,1
2023-01-26,89,728,235,103.24,0.96,0,0,0,1,0,0,1,0
2023-01-26,73,1746,205,103.24,0.96,0,0,0,1,0,1,0,0
2023-01-27,51,967,419,93.23,1.06,0,1,0,0,0,0,0,1
2023-01-27,60,503,333,93.23,1.06,0,1,0,0,0,0,1,0
2023-01-27,98,1003,261,93.23,1.06,0,1,0,0,0,1,0,0
2023-01-27,51,1346,402,93.23,1.06,0,0,0,0,1,0,0,1
2023-01-27,57,1549,372,93.23,1.06,0,0,0,0,1,0,1,0
2023-01-27,93,825,317,93.23,1.06,0,0,0,0,1,1,0,0
2023-01-27,53,1223,424,93.23,1.06,0,0,1,0,0,0,0,1
2023-01-27,69,612,339,93.23,1.06,0,0,1,0,0,0,1,0
2023-01-27,96,500,289,93.23,1.06,0,0,1,0,0,1,0,0
2023-01-27,63,819,237,93.23,1.06,0,0,0,1,0,0,0,1
2023-01-27,86,638,458,93.23,1.06,0,0,0,1,0,0,1,0
2023-01-27,82,1401,377,93.23,1.06,0,0,0,1,0,1,0,0
2023-01-28,59,760,337,110.31,1.09,1,1,0,0,0,0,0,1
2023-01-28,93,1397,212,110.31,1.09,1,1,0,0,0,0,1,0
2023-01-28,89,820,300,110.31,1.09,1,1,0,0,0,1,0,0
2023-01-28,58,1284,464,110.31,1.09,1,0,0,0,1,0,0,1
2023-01-28,60,1410,237,110.31,1.09,1,0,0,0,1,0,1,0
2023-01-28,84,1618,268,110.31,1.09,1,0,0,0,1,1,0,0
2023-01-28,93,833,336,110.31,1.09,1,0,1,0,0,0,0,1
2023-01-28,83,1087,234,110.31,1.09,1,0,1,0,0,0,1,0
2023-01-28,50,1819,259,110.31,1.09,1,0,1,0,0,1,0,0
2023-01-28,78,1372,428,110.31,1.09,1,0,0,1,0,0,0,1
2023-01-28,63,1297,490,110.31,1.09,1,0,0,1,0,0,1,0
2023-01-28,70,1688,204,110.31,1.09,1,0,0,1,0,1,0,0
2023-01-29,68,1902,277,91.61,0.97,1,1,0,0,0,0,0,1
2023-01-29,75,1073,331,91.61,0.97,1,1,0,0,0,0,1,0
2023-01-29,74,1565,288,91.61,0.97,1,1,0,0,0,1,0,0
2023-01-29,67,795,494,91.61,0.97,1,0,0,0,1,0,0,1
2023-01-29,89,1299,378,91.61,0.97,1,0,0,0,1,0,1,0
2023-01-29,87,1546,262,91.61,0.97,1,0,0,0,1,1,0,0
2023-01-29,64,1492,352,91.61,0.97,1,0,1,0,0,0,0,1
2023-01-29,66,1748,303,91.61,0.97,1,0,1,0,0,0,1,0
2023-01-29,89,1562,397,91.61,0.97,1,0,1,0,0,1,0,0
2023-01-29,55,1078,378,91.61,0.97,1,0,0,1,0,0,0,1
2023-01-29,57,1053,214,91.61,0.97,1,0,0,1,0,0,1,0
2023-01-29,96,1812,430,91.61,0.97,1,0,0,1,0,1,0,0
2023-01-30,76,919,356,103.31,1.1,0,1,0,0,0,0,0,1
2023-01-30,87,1964,296,103.31,1.1,0,1,0,0,0,0,1,0
2023-01-30,86,1934,488,103.31,1.1,0,1,0,0,0,1,0,0
2023-01-30,53,1097,209,103.31,1.1,0,0,0,0,1,0,0,1
2023-01-30,54,1364,317,103.31,1.1,0,0,0,0,1,0,1,0
2023-01-30,87,1682,427,103.31,1.1,0,0,0,0,1,1,0,0
2023-01-30,94,715,383,103.31,1.1,0,0,1,0,0,0,0,1
2023-01-30,64,1680,335,103.31,1.1,0,0,1,0,0,0,1,0
2023-01-30,54,1680,246,103.31,1.1,0,0,1,0,0,1,0,0
2023-01-30,53,1343,372,103.31,1.1,0,0,0,1,0,0,0,1
2023-01-30,51,1934,294,103.31,1.1,0,0,0,1,0,0,1,0
2023-01-30,85,1815,481,103.31,1.1,0,0,0,1,0,1,0,0
2023-01-31,92,1806,268,95.21,0.98,0,1,0,0,0,0,0,1
2023-01-31,69,510,453,95.21,0.98,0,1,0,0,0,0,1,0
2023-01-31,59,1371,237,95.21,0.98,0,1,0,0,0,1,0,0
2023-01-31,55,1211,222,95.21,0.98,0,0,0,0,1,0,0,1
2023-01-31,96,845,417,95.21,0.98,0,0,0,0,1,0,1,0
2023-01-31,62,1457,409,95.21,0.98,0,0,0,0,1,1,0,0
